0.000,0.000,0.000,0.798
0.473,0.200,0.850,1.188
1.064,0.267,2.438,1.453
1.498,0.292,3.638,1.348
1.863,0.291,3.596,1.748
2.169,0.277,3.581,1.526
2.372,0.262,3.452,1.434
2.455,0.229,3.333,1.559
2.576,0.204,3.183,1.609
2.677,0.183,3.045,1.609
2.765,0.167,2.923,1.606
2.874,0.153,2.815,1.601
2.961,0.141,2.803,1.589
REACHED GOAL 1
3.311,0.160,2.723,1.650
REACHED GOAL 2
3.717,0.176,2.789,1.702
4.117,0.190,2.858,1.648
4.624,0.197,2.790,1.662
5.143,0.197,2.722,1.594
5.473,0.193,2.662,1.578
5.826,0.192,2.630,1.578
6.189,0.182,2.600,1.578
6.480,0.174,2.544,1.578
6.784,0.167,2.491,1.576
7.085,0.160,2.441,1.573
7.391,0.153,2.394,1.569
7.696,0.147,2.350,1.609
REACHED GOAL 3
